patent,patent_1,sim_1,patent_2,sim_2,patent_3,sim_3,patent_4,sim_4,patent_5,sim_5,patent_6,sim_6,patent_7,sim_7,patent_8,sim_8,patent_9,sim_9,patent_10,sim_10
4723129,5486848,0.8493259981434541,5988785,0.8490458531265899,5943081,0.8484574579404758,5136307,0.8484122659791548,5936651,0.8480722046526367,5245364,0.8479352865403149,5808632,0.8472853619056591,5289210,0.8458083726348219,5055861,0.8452235446673302,5300969,0.8415353716965662
4463359,5808632,0.8855558583348305,5617122,0.8853397729209079,5956052,0.884267309549298,5760797,0.8826865249822716,5504505,0.8801494556047164,5300969,0.8773553064855837,5173717,0.8729838805117675,5357268,0.8727493770627651,5988785,0.8698247165881081,5729259,0.8675668066495603
4740796,5943081,0.8497893805854518,5136307,0.8497431576335277,5988785,0.8495282628267666,5936651,0.849397548311488,5245364,0.8492691055869941,5289210,0.8472534017814543,5808632,0.8471153431356983,5055861,0.846671799609533,5300969,0.841429591352234,5798773,0.8370820960515889
4345262,5808632,0.8751964479066703,5300969,0.8699157937597122,5130726,0.8662536325419854,5373368,0.8655935396021353,5617122,0.8619965106689342,4646105,0.8601230166521064,5988784,0.8596175180087867,5576745,0.8586747284349641,5988785,0.8557500653335385,5861895,0.8542346461979189
4558333,5682187,0.7900585053307282,5208604,0.7899361558438075,5059973,0.7798655884596697,5808644,0.776101905079193,5211754,0.7753833425210326,5140345,0.7747157451297755,5290667,0.7743906796585719,5617122,0.7707639244725324,5808632,0.7700931604626476,5774150,0.7690536070934564
4313124,4646105,0.8141991537327654,5211754,0.8101573707343656,5140345,0.8094855209733215,5300969,0.8077862415809282,5808632,0.8077656743525654,4410899,0.8033167826299211,5808644,0.8028470570439642,5559543,0.8001770640358725,5163177,0.7981079293706743,5214450,0.7981043408842083
4683195,4965188,0.9488681414473521,4889818,0.9326289560513069,5176995,0.9320055696423997,5008182,0.9307550659896904,5468613,0.9294798727544031,5594123,0.9282732865543231,5386022,0.9282422054936813,5079352,0.9250855332456374,5352600,0.9213522852444019,5132215,0.9087756726028731
4459600,5066964,0.8531520269872109,5175567,0.8457694619514431,5211754,0.8454630661330519,5371528,0.8454427417154188,5140345,0.8453998882625319,5708466,0.843219569268854,5808632,0.8420203698510001,5512924,0.8416501400170889,5617121,0.8414718602529877,5148192,0.840452194062435
4683202,4965188,0.9338231208664827,4889818,0.9287112812305999,5468613,0.9274408883137754,5604099,0.9268663777684322,5352600,0.9187442735197371,5176995,0.916889254855864,5594123,0.9161912914763387,5386022,0.9161060704228466,5079352,0.9156398301847679,5079351,0.8919751897081319
3953566,5814405,0.7773471856210911,5098625,0.7637178225934308,5840775,0.7636309259677683,5721283,0.7633732009613488,5939198,0.762998211425802,4760102,0.7598207054903231,4539256,0.75735953100865,5861033,0.7551005198089733,5433909,0.7547962489178809,5980799,0.7543498303488122
4367924,5083855,0.8551385148627622,5227905,0.8550971168827955,4563059,0.8547843800827853,4813767,0.8543526291196558,5555111,0.849049232033152,5555117,0.8484761803189796,4840463,0.8475701001032137,4958916,0.847401512500158,4712873,0.8427751645203518,5109295,0.8421328831602682
3702886,3970544,0.8856336594870174,4100214,0.8653998786916077,4565681,0.8614965921163757,4105541,0.8608639339542963,4289607,0.855363469734756,4070407,0.8511674709915489,4112056,0.8493473947574862,4610855,0.8467616350837907,4296083,0.8460981765996477,4229424,0.846048953968165
4733665,5195984,0.9488203945432417,5902332,0.9483957783656961,5102417,0.9471387333161706,5911732,0.9297846410641065,5556414,0.818659269763832,5122154,0.8016406951971687,5843164,0.7873386215387387,5800526,0.7811183426957187,5776141,0.7729644745687211,5782904,0.770487634562006
3845770,4135514,0.9637057024361477,4093708,0.9635355383963655,4096238,0.9634286792818264,4142526,0.9632843298739006,4519801,0.927882611286114,4553973,0.9277412758258723,4484921,0.9150254242915662,4439195,0.9145239156483752,3977404,0.9096671967678689,4034758,0.9093820738889494
5103459,5280472,0.9590241417624598,5751761,0.9470490375954916,5497395,0.9460139376845507,5691974,0.8719551441381574,5414728,0.8619237597833628,5295153,0.861002935612192,5341397,0.8606928704670365,5377183,0.8548568609594269,5991332,0.8548422567414646,5623485,0.8542680262217027
4535773,5158552,0.8136506989396213,5312354,0.8086531943531805,5263937,0.7884857566869169,5613950,0.7846208940577342,5522831,0.7831538087451044,5338305,0.7777761805141425,5152754,0.7775208537796784,5320610,0.7766279621221247,5364365,0.7761921088956317,5364372,0.7761690541725439
4358535,5200313,0.816472975103289,4652517,0.806801999181506,4775619,0.8064038639902107,4822731,0.8015505331554083,4743535,0.8007130418568486,4777129,0.7978617812622825,5176995,0.7947357072232578,5605800,0.7941523579360663,5008182,0.7934689115716127,5955262,0.7922543827798288
4655771,5222971,0.8365263828247584,5755772,0.835073965537513,5649952,0.8347842498022646,5709713,0.8347788074971457,5569295,0.834718021993099,5916234,0.8346022200202894,5421955,0.8291831353282761,5766238,0.8286552170594534,5292331,0.8258592351652031,5356423,0.8253939501117026
4901307,5691974,0.8924262313216695,5280472,0.8902189938126225,5940753,0.8751880339789828,5841806,0.8674534551109775,5295153,0.862136436389851,5136612,0.8619860561388066,5341397,0.8618575142222205,5757767,0.8612199280126249,5233626,0.8561789947911974,5513176,0.8549590297182064
3849241,3978185,0.93062192827086,5021288,0.7145887247258376,4803117,0.7109494087138281,4692371,0.6948432097104987,5498463,0.69067944597231,5582907,0.6838859638995418,5667750,0.6817356772365208,5810954,0.6786994420249399,5744548,0.6781788240959269,5639541,0.6780063575624535
4234435,5041622,0.9772739360577607,4941984,0.9666889266215122,5202036,0.9659590826204612,5334329,0.963700865653151,4489194,0.9629792711849947,4981602,0.9629614042993957,4938881,0.961265883315279,4952328,0.9605956887922504,4957649,0.9595867458006584,4613342,0.957956410464185
3271922,5651232,0.7005590930623169,5740655,0.6983406375280633,5842323,0.6980684538851432,5557882,0.6980529052628421,5584162,0.6980024380654888,5661950,0.6979732438325756,5402601,0.6972650018584796,5878547,0.6963600560756955,5873465,0.6948131795943762,5615534,0.6918684654952091
4340563,5707735,0.8127013619203793,5695377,0.811257147195837,5667562,0.8058160486178474,5709735,0.8010042654184445,5460500,0.7977464752433722,5244723,0.7977188028020188,5935612,0.7965893520467674,5336552,0.796266162541376,5643653,0.7945629292421599,5405682,0.7934870261840921
4776337,5195984,0.9535888456633824,5902332,0.9532110365369529,5911732,0.9300953057878903,5556414,0.823568350818006,5123917,0.8051997338804373,5843164,0.7879155757672966,5800526,0.7826200223117789,5776141,0.7764152624005551,5782904,0.7707266146629895,5593417,0.7695591844982785
4440871,4677242,0.9548264246099741,4567029,0.9317965823424526,5230881,0.8645158109545502,4861743,0.85665507332394,4554143,0.8514344656734786,4801364,0.851207061461677,4744885,0.8504977176907365,4861739,0.849895824150631,6001328,0.8402723792293874,4826804,0.8400691333598426
4558413,4809170,0.765975977388119,5201050,0.7377643596881213,5193191,0.7376573272358409,5182806,0.7373523429368868,5500881,0.7372927495873369,5170465,0.7371899737586441,5313387,0.7371618509819307,5325531,0.737062224474685,5301327,0.7370269410515505,5634124,0.7332282670470657
4647447,5876695,0.8254951637111306,5098692,0.8187935457747545,5399340,0.8030442819300198,5693310,0.7829205200475606,5911971,0.7782252405421288,5746999,0.7773763475625105,5650136,0.7771515252911068,5695739,0.775431646398878,5798092,0.774106923924243,5843399,0.7731266247948961
4100324,5350624,0.8436291504939366,5508102,0.8436119913189424,4803117,0.8340629198715535,4908163,0.8277310447082418,5952251,0.8164592903732133,5227107,0.8103905601726663,5409768,0.8103188791373833,4894280,0.8061931196661231,5695377,0.8056374903824727,5919177,0.8050764219340795
