5339262,'5339262', '0.83248824', '4322073', '0.8324886', '5781701', '0.8324922', '5003202', '0.83249164', '4071891', '0.83249474', '5220512', '0.83249825', '5760611', '0.83250064', '5629860', '0.8324952', '5239663', '0.8325014', '5521836', '0.8325181', '5673200', '0.8325121', '5394033', '0.8325075', '5396565', '0.83250254', '5245226', '0.83250666', '5898671', '0.8325096'
4844064,'4844064', '0.83249426', '5509900', '0.83249515', '5304132', '0.8325004', '5147377', '0.8325007', '5514108', '0.83250296', '5316023', '0.83250415', '5224946', '0.83250505', '4894062', '0.8325048', '5795325', '0.8325074', '5871473', '0.8325091', '5800519', '0.83251446', '4994034', '0.8325106', '5630833', '0.83251375', '5591195', '0.8325102', '5556400', '0.8325239'
6006204,'6006204', '0.8324854', '5659741', '0.8324857', '5664109', '0.83248645', '5313515', '0.83248985', '5754655', '0.83249104', '5333316', '0.83249205', '5588150', '0.8324917', '5790803', '0.8324947', '5818021', '0.83249843', '5848271', '0.8324974', '5790634', '0.8324978', '5345380', '0.83250445', '5727249', '0.83249897', '5289371', '0.8325019', '5973731', '0.83250177'
4326509,'4326509', '0.83247477', '3953655', '0.83248246', '5342877', '0.8324855', '5667898', '0.8324766', '5294667', '0.83248574', '4626471', '0.8324828', '4355073', '0.83248967', '5983973', '0.83248985', '5888640', '0.83249176', '5506046', '0.8324983', '5104423', '0.8324944', '5139977', '0.83249265', '5372620', '0.83250064', '4985378', '0.8325139', '4543107', '0.83250207'
5053955,'6006204', '0.8319875', '5053955', '0.8324078', '5401944', '0.8324195', '5854833', '0.8324257', '5404488', '0.8324217', '5754655', '0.8324362', '5187750', '0.83244395', '5818021', '0.8324624', '5790634', '0.83246887', '5727249', '0.8324362', '4882675', '0.83245766', '5805777', '0.83249044', '5835689', '0.83244807', '4949388', '0.83250713', '5247564', '0.83250314'
5480440,'5480440', '0.8325081', '5961536', '0.83250886', '5562629', '0.83252084', '5554124', '0.83251053', '5368574', '0.8325184', '5709658', '0.8325108', '5147302', '0.8325116', '5997507', '0.83251727', '4785810', '0.83252', '5536256', '0.83251', '5713854', '0.83251554', '5540648', '0.83251', '5496275', '0.8325098', '5556400', '0.83251125', '5127909', '0.8325188'
4704376,'4704376', '0.832511', '4661467', '0.83251137', '4608413', '0.83251303', '3886085', '0.8325187', '4978469', '0.8325223', '4113592', '0.832519', '4744802', '0.8325298', '4874819', '0.83251566', '4276151', '0.8325143', '4331644', '0.83252126', '4496677', '0.8325178', '4784879', '0.8325142', '4406816', '0.8325182', '5234977', '0.8325142', '5686042', '0.8325168'
4868616,'4868616', '0.83248633', '5142437', '0.83248776', '3982147', '0.832489', '5577944', '0.8324912', '5837619', '0.83251274', '3665241', '0.8325152', '5635790', '0.8325012', '5830527', '0.8325169', '5357460', '0.83249277', '5959357', '0.83251417', '5656825', '0.8325027', '5756191', '0.83250695', '5851734', '0.83251077', '5801076', '0.8325154', '4741601', '0.8325034'
5822303,'5822303', '0.83247566', '4692757', '0.8324759', '5659659', '0.8324782', '5446900', '0.8324857', '5761518', '0.8324803', '4623886', '0.83247864', '5826043', '0.832491', '4769636', '0.8324831', '4569044', '0.83248866', '5936624', '0.83249366', '4835685', '0.83249897', '5161156', '0.83248645', '5469556', '0.83248144', '5721878', '0.8324964', '5864539', '0.8324837'
5230063,'5230063', '0.83092797', '5471575', '0.8309762', '5905950', '0.8309889', '4677685', '0.83105725', '5604791', '0.83107007', '5276703', '0.83119655', '5649000', '0.83126396', '5826043', '0.83132756', '5737324', '0.8318115', '4905003', '0.8313979', '5323418', '0.8322117', '5818820', '0.8316928', '5428731', '0.8322267', '4866431', '0.83247674', '5973684', '0.83247864'
4552889,'4552889', '0.832509', '4329518', '0.8325091', '5128479', '0.83251065', '4360511', '0.83251077', '4331806', '0.8325131', '5004820', '0.8325132', '5625052', '0.83252096', '4325945', '0.8325201', '4133814', '0.8325163', '5986109', '0.8325178', '5003054', '0.8325187', '4681877', '0.8325153', '4396773', '0.83251476', '5843974', '0.83251595', '4257802', '0.8325285'
