,patent
532,5968718
533,5812955
534,5361357
535,5911352
536,4840772
537,5152749
538,4585540
539,5104838
540,5516490
541,5534894
542,3953681
543,5571152
544,5790023
545,4573517
546,5412797
547,4838904
548,5565487
549,5131539
550,3982266
551,5411552
552,4746787
553,5759689
554,6008377
555,5028488
556,4248751
557,5766824
558,5255683
559,5055437
560,5889413
561,5757853
562,4934377
563,5536450
564,4497721
565,5558255
566,4863989
567,5650770
568,5010242
569,5394030
570,5202036
571,5374286
572,4475116
573,5481101
574,4355428
575,5541721
576,4994031
577,4764920
578,5301283
579,5606666
580,5630848
581,5266402
582,5615268
583,5768568
584,5881943
585,5498244
586,5598465
587,4714080
588,5212524
589,5604730
590,5606606
591,5141669
592,5647127
593,5876467
594,5769175
595,5183660
596,5635290
597,4943139
598,5548805
599,5504841
600,5461639
601,5592345
602,5525810
603,5758175
604,5456686
605,5488717
606,5418134
607,5953324
608,5437664
609,5431666
610,5471677
611,5845090
612,4115340
613,5554145
614,5569266
615,5859839
616,5700392
617,5851795
618,5838927
619,4299229
620,4800685
621,4116962
622,4554145
623,5348569
624,5270241
625,5455106
626,3947310
627,5422186
628,4525837
629,5457156
630,5267973
631,5681792
632,5952544
633,5693583
634,4377503
635,5281503
636,5547474
637,5008050
638,5561138
639,4120688
640,5434370
641,5608246
642,5470568
643,5895407
644,4210633
645,5073276
646,5026446
647,5801005
648,5877305
649,5812750
650,5819191
651,5561707
652,5874373
653,5573626
654,5632072
655,4791283
656,5774494
657,5846710
658,5440010
659,5633875
660,5200954
661,5215769
662,5207650
663,3975350
664,5300357
665,4847141
666,5358505
667,5400159
668,4020124
669,5556618
670,5955205
671,5936624
672,5780140
673,4896009
674,4518827
675,4874497
676,5692400
677,5065335
678,4590503
679,5470010
680,5831679
681,4840864
682,5554180
683,5884174
684,5626003
685,4667305
686,4901231
687,4729847
688,4298529
689,5652361
690,5900013
691,4987053
692,5327545
693,5746694
694,5452837
695,5800352
696,4672538
697,5641645
698,4458066
699,5005028
700,5650214
701,5869593
702,5203780
703,5192324
704,6007830
705,5561705
706,5341474
707,4071507
708,4032304
709,5673312
710,5393526
711,5342693
712,5712987
713,4906691
714,5033465
715,5453344
716,5204111
717,4902406
718,4830799
719,5140121
720,5201420
721,5843027
722,5872457
723,5713892
724,4639243
725,5348536
726,5504690
727,5787073
728,5583051
729,4651175
730,5887020
731,5932014
732,4566038
733,4460982
734,4557921
735,5237604
736,5023052
737,5238471
738,4351758
739,4446342
740,5350355
741,5745710
742,5634882
743,4859681
744,5503847
745,5320840
746,4845739
747,5586130
748,5348999
749,3998994
750,4803618
751,5434798
752,5082668
753,5502792
754,4691244
755,4514507
756,4580877
757,4393453
758,5081680
759,5098714
760,4945216
761,5572579
762,5869025
763,5023264
764,5416895
765,4707388
766,4808158
767,4713377
768,5681624
769,5913855
770,5604881
771,5565519
772,4277589
773,5822121
774,5590196
775,4889889
776,4472553
777,5236850
778,5453737
779,5461009
780,4335217
781,5028465
782,5719926
783,4968865
784,5942212
785,4547465
786,5487066
787,5334908
788,5354600
789,5948550
790,4877709
791,5787355
792,5883904
793,5709653
794,5710583
795,5098711
796,5871936
797,5944646
798,5487029
799,4755936
800,4493026
801,4758221
802,4879747
803,5838410
804,5616526
805,4910609
806,5172746
807,4507163
808,5182341
809,5585865
810,5368584
811,5121172
812,5800903
813,5471472
814,4600310
815,5768509
816,5549635
817,4991579
818,5992981
819,4397785
820,5691378
821,4698338
822,5577500
823,6007695
824,5848216
825,5110809
826,5504385
827,5409495
828,5640337
829,5858303
830,5293534
831,4649377
832,5523024
833,4687654
834,5822694
835,5590321
836,4723284
837,5266311
838,5719898
839,5600831
840,5609614
841,5043563
842,5526928
843,5357105
844,5565670
845,4764866
846,5818110
847,5434987
848,5974404
849,5000957
850,5448185
851,5452229
852,4738667
853,5942157
854,5847577
855,4901340
856,5742042
857,4595514
858,4131089
859,5865743
860,4758949
861,5271939
862,4558181
863,5851833
864,5494477
865,4885788
866,5126838
867,5037178
868,5973138
869,5501755
870,5997708
871,6001736
872,5793903
873,4522806
874,5884196
875,5411551
876,4129647
877,5806154
878,5494789
879,5043578
880,5644118
881,5698400
882,5564017
883,5665728
884,4943343
885,5775402
886,5069998
887,5990991
888,5635577
889,4810613
890,4883478
891,4094309
892,5133077
893,4878130
894,4797806
895,4594653
896,5130392
897,5667625
898,5885556
899,5092847
900,4254228
901,4958592
902,5453659
903,4637898
904,5944129
905,5460614
906,5770840
907,4963134
908,5272754
909,5719197
910,5570414
911,5680537
912,4820498
913,4746357
914,5332909
915,5825579
916,5976998
917,5302813
918,5796945
919,5442586
920,5280162
921,5024234
922,4760534
923,5453797
924,5963232
925,5294667
926,5768559
927,5394232
928,5953035
929,5410544
930,5657141
931,4814540
