,patent
17088,5088499
17089,5646001
17090,4439433
17091,5562687
17092,5124041
17093,5652051
17094,5988501
17095,4279887
17096,5416367
17097,5675041
17098,5126233
17099,5724357
17100,5548687
17101,5649293
17102,4749822
17103,5701720
17104,5650505
17105,5006582
17106,5662606
17107,4613207
17108,5311480
17109,5108378
17110,5268648
17111,4717413
17112,5529966
17113,5578402
17114,4626458
17115,4396601
17116,5995536
17117,5564038
17118,5639599
17119,5894310
17120,5824668
17121,4818988
17122,5511421
17123,5709667
17124,5839119
17125,5383823
17126,5345824
17127,5710601
17128,5679773
17129,5805516
17130,4197335
17131,5772660
17132,5776493
17133,3864151
17134,5135751
17135,4618596
17136,3959155
17137,5885722
17138,5862330
17139,5499053
17140,4564606
17141,5477380
17142,4158684
17143,5839226
17144,5450843
17145,5963924
17146,4914055
17147,4795427
17148,4156329
17149,4870966
17150,5903487
17151,5224210
17152,5827916
17153,4160054
17154,5868700
17155,5490276
17156,5739356
17157,5805792
17158,4536460
17159,5137364
17160,5194142
17161,5350418
17162,5995835
17163,5656419
17164,4295890
17165,5358673
17166,4499130
17167,5941872
17168,5004476
17169,4740637
17170,5702717
17171,5159687
17172,4066860
17173,4544702
17174,5139979
17175,4701766
17176,4954596
17177,5396539
17178,4696962
17179,5543026
17180,5778388
17181,5574336
17182,4263652
17183,5796267
17184,5359361
17185,5405654
17186,5663241
17187,4595334
17188,4872122
17189,5972383
17190,4190536
17191,4171135
17192,4008305
17193,4698263
17194,4834509
17195,5963581
17196,5951585
17197,5949985
17198,5326726
17199,5959543
17200,5312399
17201,4960410
17202,5506952
17203,5773411
17204,5108573
17205,5403619
17206,5854835
17207,4810655
17208,5187130
17209,4181752
17210,4948882
17211,4207392
17212,5517993
17213,5285144
17214,5270502
17215,5906711
17216,4976901
17217,5635067
17218,5109601
17219,5771786
17220,4302282
17221,5790932
17222,5716675
17223,5667636
17224,5925714
17225,5113022
17226,5149538
17227,4590369
17228,5187150
17229,4471021
17230,5019003
17231,3911290
17232,5571130
17233,5935430
17234,5806155
17235,5471592
17236,5234342
17237,5082935
17238,5518709
17239,5448186
17240,5491225
17241,4963769
17242,4669107
17243,5263118
17244,5495471
17245,5997853
17246,5439734
17247,5831448
17248,5278755
17249,4729102
17250,5063854
17251,5262096
17252,5384333
17253,5627835
17254,5530452
17255,5559790
17256,3971818
17257,4642320
17258,4526447
17259,5236887
17260,4788361
17261,5628146
17262,4965247
17263,5856279
17264,5734275
17265,5465717
17266,4283396
17267,5295961
17268,5584296
17269,5602066
17270,5562725
17271,5868749
17272,5526423
17273,3862877
17274,5547933
17275,5728743
17276,5991205
17277,5168441
17278,5332613
17279,5395336
17280,5401443
17281,5308799
17282,4745600
17283,5057104
17284,5755777
17285,5200652
17286,5533027
17287,5984619
17288,4522593
17289,5663549
17290,4814163
17291,5821363
17292,5463641
17293,5612742
17294,5479638
17295,5753565
17296,5932416
17297,4407952
17298,4661903
17299,5861002
17300,5106748
17301,4137075
17302,5111237
17303,5374373
17304,5437659
17305,5544070
17306,4496541
17307,5444192
17308,5558899
17309,5472430
17310,5468610
17311,4315318
17312,5147314
17313,5434797
17314,5261930
17315,5840754
17316,5989590
17317,4866129
17318,5684721
17319,4668995
17320,4883737
17321,5602685
17322,5481655
17323,5424419
17324,4731059
17325,5464665
17326,4946786
17327,4298616
17328,5746767
17329,4235375
17330,5213805
17331,5513184
17332,5092839
17333,4342841
17334,5603960
17335,5904680
17336,5561526
17337,5601542
17338,4628416
17339,5217440
17340,4494863
17341,4198488
17342,4386945
17343,5705721
17344,4857217
17345,4599901
17346,5053132
17347,5552592
17348,5977998
17349,5977382
17350,4350793
17351,5417208
17352,5648982
17353,3970887
17354,5816020
17355,5747101
17356,5578026
17357,5217465
17358,4508803
17359,4437897
17360,4450023
17361,4692163
17362,4855259
17363,5616307
17364,5386003
17365,5691856
17366,5838063
17367,4631679
17368,5780058
17369,5821954
17370,5820578
17371,5539901
17372,5594227
17373,5039999
17374,5766187
17375,5412727
17376,4857251
17377,5327547
17378,5522882
17379,5713860
17380,5850771
17381,3887741
17382,5920507
17383,5434908
17384,5673401
17385,4964770
17386,5517675
17387,5822731
17388,5682521
17389,5049539
17390,5963455
17391,5596696
17392,4868781
17393,4451884
17394,3884960
17395,5359511
17396,5863697
17397,5173481
17398,5405585
17399,5740339
17400,4944273
17401,4567228
17402,5517632
17403,4598147
17404,5402014
17405,4681803
17406,5690853
17407,5818511
17408,4900786
17409,4578430
17410,4274993
17411,5697947
17412,4973549
17413,5504874
17414,4910118
17415,4297282
17416,5737395
17417,4755934
17418,5832083
17419,4891451
17420,5082696
17421,5220215
17422,5399561
17423,5633666
17424,5430837
17425,5779646
17426,5594793
17427,5711815
17428,5600396
17429,5827392
17430,5293560
17431,5266327
17432,5211854
17433,5758146
17434,5729049
17435,4715031
17436,5442686
17437,4229233
17438,5402772
17439,4916603
17440,4329518
17441,4097619
17442,5106909
17443,4563703
17444,5928260
17445,4377616
17446,5313664
17447,5147900
17448,5934515
17449,5781245
17450,5052610
17451,5353429
17452,4119094
17453,5671472
17454,5902537
17455,5149613
17456,5725537
17457,4514085
17458,5385819
17459,4477585
17460,5474848
17461,5825119
17462,5861325
17463,5429605
17464,4834882
17465,5566897
17466,5520691
17467,5420220
17468,5074647
17469,4495214
17470,5384909
17471,5120308
17472,4965743
17473,4985340
17474,4293468
17475,5743850
17476,4807139
17477,5536264
17478,5424810
17479,4596564
17480,5190806
17481,5878127
17482,4379016
17483,5460947
17484,4681574
17485,5832220
17486,5232366
17487,5621640
17488,5345417
17489,5599749
17490,5149413
17491,5313186
17492,5650858
17493,5420020
17494,4997690
17495,4479761
17496,5679868
17497,5816861
17498,5231312
17499,5524007
17500,4963468
17501,5928864
17502,5692049
17503,5985753
17504,5819272
17505,5166145
17506,5177185
17507,5859898
17508,5587274
17509,5438661
17510,4843578
17511,5862361
17512,3941904
17513,5236817
17514,5081151
17515,4918149
17516,5167239
17517,5577222
17518,5669202
17519,5292830
17520,4610671
17521,5175646
17522,5636343
17523,5370940
17524,5777010
17525,5928144
17526,5476453
17527,4273109
17528,4443444
17529,5324782
17530,5246546
17531,4944904
17532,5846080
17533,5826053
17534,5059345
17535,5160920
17536,5634050
17537,5562655
17538,5436730
17539,5454111
17540,5678015
17541,4759991
17542,5592540
17543,5182550
17544,4255674
17545,5829033
17546,5683970
17547,5377678
17548,5758171
17549,4570546
17550,5987213
17551,5463473
17552,4841570
17553,5620613
17554,5006351
17555,5006640
17556,5194930
17557,5578644
17558,5505878
17559,2510120
17560,5358602
17561,5059189
17562,5439476
17563,5801621
17564,4308867
17565,4041121
17566,5870565
17567,5818368
17568,5629079
17569,5100397
17570,5548323
17571,5482740
17572,5371896
17573,5730905
17574,5954729
17575,5720775
17576,4630283
17577,4154815
17578,5490999
17579,4812992
17580,4350764
17581,4951142
17582,4935927
17583,5584872
17584,5776064
17585,5909794
17586,5091302
17587,5882679
17588,4481616
17589,5606075
17590,5725496
17591,4537619
17592,4630133
17593,5569651
17594,5047808
17595,4390413
17596,4921925
17597,5336071
17598,5688476
17599,4731078
17600,5394445
17601,5315647
17602,4929681
17603,5498975
17604,5439950
17605,5569973
17606,5919390
17607,5250069
17608,5908755
17609,5542074
17610,4016594
17611,4758377
17612,4925667
17613,3906064
17614,5639541
17615,5415683
17616,5553222
17617,5955097
17618,5043886
17619,4770179
17620,5571208
17621,5115508
17622,5545158
17623,5956030
17624,5707378
17625,4863755
17626,5596599
17627,4866128
17628,5147387
17629,3969059
17630,5395816
17631,5243356
17632,5694332
17633,5757970
17634,4233334
17635,4544933
17636,5800409
17637,5409463
17638,5227790
17639,4824910
17640,4211234
17641,5710982
17642,5444639
17643,5662585
17644,5198669
17645,5962923
17646,4866440
17647,5863958
17648,5555299
17649,5132702
17650,4327725
17651,5260065
17652,5532959
17653,5151855
17654,5120893
17655,4814029
17656,4126726
17657,4265990
17658,5430471
17659,4471164
17660,5276881
17661,5617878
17662,5764949
17663,4724176
17664,5696430
17665,5850560
17666,5170683
17667,4496507
17668,5769303
17669,5612716
17670,5815182
17671,4639737
17672,5046680
17673,5996634
17674,4269314
17675,4785408
17676,5019280
17677,4900604
17678,4364067
17679,5329523
17680,4588684
17681,5399891
17682,5960409
17683,4840461
17684,5125404
17685,5221663
17686,5718022
17687,5627223
17688,4260515
17689,5002974
17690,5734863
17691,4181964
17692,3885561
17693,5452231
17694,5877483
17695,5788707
17696,5868777
17697,4175094
17698,5038208
17699,5918073
17700,4058122
17701,5745363
17702,3979540
17703,5164126
17704,5616069
17705,5558854
17706,4173551
17707,5769868
17708,4952286
17709,4863442
17710,5995705
17711,5899957
17712,5207656
17713,5662680
17714,5204670
17715,5313459
17716,5442805
17717,5445140
17718,3918844
17719,5334684
17720,5140640
17721,4371510
17722,5839448
17723,5680565
17724,5544325
17725,5616719
17726,5667976
17727,5867708
17728,5699504
17729,5028652
17730,5933647
17731,4967211
17732,4533788
17733,4575538
17734,4418132
17735,4521581
17736,5738774
17737,5045330
17738,4603383
17739,4077407
17740,5664089
17741,4397750
17742,5981514
17743,4211687
17744,5702563
17745,5784198
17746,5658753
17747,5217001
17748,5885762
17749,4368384
17750,4715144
17751,5328784
17752,5918154
17753,4904265
17754,4604415
17755,5168563
17756,4863490
17757,4362830
17758,5601764
17759,4752939
17760,5397698
17761,5124392
17762,4508807
17763,5943361
17764,5342373
17765,5826217
17766,5317339
17767,5842478
17768,5559191
17769,5290864
17770,5512122
17771,4010306
17772,4649447
17773,5239038
17774,5297249
17775,5307058
17776,5091852
17777,5623666
17778,4894434
17779,4559942
17780,5392448
17781,5123412
17782,5858003
17783,5301286
17784,5725494
17785,4254104
17786,5615383
17787,5701266
17788,5659367
17789,4921495
17790,5570785
17791,5522790
17792,5450235
17793,5700544
17794,4115232
17795,5560009
17796,5919163
17797,5546554
17798,4930081
17799,5023114
17800,4872125
17801,5419925
17802,5214088
17803,5592940
17804,5535400
17805,5418955
17806,5883427
17807,5142674
17808,5912393
17809,4324683
17810,5521043
17811,5436149
17812,5477860
17813,5562602
17814,5065347
17815,5744673
17816,5196510
17817,5374252
17818,5487102
17819,5315658
17820,4297406
17821,5576246
17822,5635387
17823,5540697
17824,4789386
17825,4515893
17826,5101500
17827,5334562
17828,4753827
17829,5238769
17830,4281215
17831,5300085
17832,5153319
17833,5390350
17834,5712390
17835,5935849
17836,5270827
17837,5047016
17838,5892958
17839,5824613
17840,5593846
17841,5789076
17842,5140314
17843,5506974
17844,5968587
17845,5948339
17846,5949474
17847,4953204
17848,5604495
17849,5074877
17850,5651362
17851,4408279
17852,4659752
17853,4177514
17854,5849690
17855,5334193
17856,4230797
17857,5741281
17858,5453270
17859,5567934
17860,5407433
17861,4895897
17862,5611943
17863,4835098
17864,4945028
17865,5249062
17866,5718241
17867,5580634
17868,5817415
17869,5935239
17870,4839464
17871,5637646
17872,5041288
17873,5320891
17874,5966322
17875,5231521
17876,5692204
17877,5080891
17878,4670379
17879,5728131
17880,5155859
17881,5102683
17882,5925396
17883,4325827
17884,4761481
17885,5236826
17886,5981956
17887,5644161
17888,5971983
17889,5599593
17890,5719890
17891,5434240
17892,5835174
17893,4867982
17894,5243226
17895,5270832
17896,5472481
17897,5711012
17898,5104424
17899,4743313
17900,5295993
17901,5714510
17902,5349248
17903,4043077
17904,5627006
17905,5007017
17906,4383981
17907,5500361
17908,5097231
17909,5548729
17910,5340487
17911,5807939
17912,5191423
17913,5285469
17914,5019699
17915,4663617
17916,5859969
17917,4724431
17918,5812416
17919,5499331
17920,4252969
17921,5700705
17922,5782834
17923,4893903
17924,5004822
17925,4922050
17926,4766040
17927,5026356
17928,5408680
17929,5396647
17930,4675841
17931,5645789
17932,4923902
17933,5556801
17934,4564282
17935,5682133
17936,5218191
17937,5714167
17938,5844885
17939,5707394
17940,5721959
17941,5951770
17942,5931804
17943,5081078
17944,5781239
17945,4067890
17946,5134693
17947,5138488
17948,5176995
17949,5825854
17950,5767454
17951,5301356
17952,4578474
17953,4905137
17954,5061710
17955,4127691
17956,5204390
17957,4747986
17958,4086387
17959,5219791
17960,4538093
17961,5817366
17962,5350488
17963,5984946
17964,5006849
17965,5625567
17966,4256595
17967,5241925
17968,5405348
17969,4961932
17970,5965152
17971,5316842
17972,5643303
17973,5578385
17974,5908400
17975,4855529
17976,4312973
17977,5645559
17978,4464749
17979,5848271
17980,4651163
17981,5818764
17982,4618649
17983,4964074
17984,4724184
17985,4323647
17986,5424858
17987,5410220
17988,5614359
17989,5165307
17990,5898922
17991,5443839
17992,5451410
17993,5594721
17994,5315282
17995,3867324
17996,5513327
17997,4755593
17998,3130113
17999,5045271
18000,5807366
18001,5742300
18002,5864463
18003,5354742
18004,5807801
18005,5310447
18006,5682027
18007,5449450
18008,4709084
18009,4930503
18010,5815722
18011,5990984
18012,5930700
18013,5660847
18014,4795452
18015,4024324
18016,4788125
18017,4836236
18018,4946514
18019,5414752
18020,5889860
18021,5226170
18022,4322849
18023,3879306
18024,5218691
18025,5045631
18026,5071422
18027,5367148
18028,4584192
18029,4622631
18030,5432938
18031,5701147
18032,5909202
18033,5574974
18034,5226531
18035,5871392
18036,5376074
18037,5277201
18038,4202880
18039,4846192
18040,5932604
18041,5831885
18042,4672457
18043,4502938
18044,4797172
18045,4952550
18046,5576059
18047,4870255
18048,5182581
18049,5411272
18050,5425027
18051,4748656
18052,5680281
18053,4628447
18054,4885159
18055,5830146
18056,5832695
18057,6008084
18058,5179219
18059,4049589
18060,5207693
18061,5457680
18062,5047928
18063,5408326
18064,5845218
18065,5665428
18066,5362566
18067,5424374
18068,5993489
18069,5821290
18070,5411479
18071,5845255
18072,4968470
18073,5795653
18074,4157996
18075,5370109
18076,5748943
18077,4636790
18078,5983519
18079,4982322
18080,5259838
18081,5007917
18082,5915221
18083,5034010
18084,5473480
18085,5583997
18086,5470541
18087,5980878
18088,5500250
18089,4305131
18090,5623029
18091,4587152
18092,5243702
18093,4829319
18094,5385925
18095,5615380
18096,5210784
18097,4738850
18098,5256173
18099,4877896
18100,5617367
18101,5566051
18102,4344949
18103,4863430
18104,6004745
18105,5078475
18106,4535412
18107,4703503
18108,5828948
18109,5166661
18110,5454009
18111,5165463
18112,5876453
18113,4144411
18114,4590585
18115,5830190
18116,4315512
18117,5799196
18118,5843102
18119,5534072
18120,4709698
18121,4380565
18122,5601546
18123,4002169
18124,5508346
18125,4546361
18126,5699125
18127,4375095
18128,5155541
18129,5072424
18130,4806558
18131,4839268
18132,4736738
18133,5215535
18134,4433007
18135,3980839
18136,5292393
18137,5544354
18138,4888379
18139,5024692
18140,5331181
18141,5657429
18142,5091845
18143,5446899
18144,5808096
18145,4665309
18146,3989517
18147,5308338
18148,5649115
18149,5797949
18150,5205970
18151,5350485
18152,5311512
18153,4544735
18154,5537467
18155,4983666
18156,5479761
18157,4742351
18158,4166812
18159,5569248
18160,5326465
18161,4264595
18162,5742762
18163,5749905
18164,5963840
18165,5109103
18166,4939186
18167,5396543
18168,5427986
18169,5353195
18170,4385630
18171,5103062
18172,4104319
18173,3957362
18174,5598462
18175,4689041
18176,4031063
18177,4877710
18178,5369010
18179,5144202
18180,4171296
18181,5548802
18182,5555481
18183,4252924
18184,5138063
18185,4564838
18186,5935612
18187,4817044
18188,5959103
18189,5919847
18190,2278673
18191,4980226
18192,4723950
18193,4659672
18194,5587919
18195,5694576
18196,5367086
18197,5026887
18198,5321082
18199,4878196
18200,5508347
18201,4121548
18202,5820618
18203,4995392
18204,4169744
18205,4683466
18206,4948007
18207,4308250
18208,4394459
18209,3789096
18210,5682330
18211,4464224
18212,5664109
18213,5513338
18214,4237164
18215,5416797
18216,5948227
18217,5926412
18218,5685865
18219,5840024
18220,5757787
18221,5423745
18222,5645565
18223,5598750
18224,5312514
18225,4891043
18226,5852128
18227,5876843
18228,5519844
18229,5582644
18230,5653857
18231,5223235
18232,5565248
18233,5574899
18234,4284053
18235,5171268
18236,5418095
18237,5516721
18238,5389074
18239,4921794
18240,5999908
18241,5875158
18242,5422411
18243,5769699
18244,5736555
18245,5830134
18246,5436713
18247,5648391
18248,5269007
18249,4376303
18250,4892862
18251,5366923
18252,5531728
18253,5786204
18254,5334441
18255,5922020
18256,5873046
18257,5961629
18258,5935113
18259,5773183
18260,5666468
18261,5085974
18262,5301329
18263,4499084
18264,5741330
18265,5122115
18266,5795868
18267,4886831
18268,5616137
18269,5553255
18270,5335246
18271,6008197
18272,5008314
18273,5654650
18274,5564107
18275,4219335
18276,4635533
18277,5754862
18278,6002767
18279,5548698
18280,4270170
18281,4816904
18282,5980608
18283,5521342
18284,4795712
18285,5491820
18286,4728458
18287,4524155
18288,5082581
18289,5976690
18290,5903734
18291,5357632
18292,5479397
18293,5172138
18294,3872228
18295,4917895
18296,5171818
18297,5797001
18298,5176663
18299,5160396
18300,4926180
18301,5374447
18302,5721112
18303,5445617
18304,4975904
18305,5956695
18306,4640763
18307,5853547
18308,5728085
18309,5374501
18310,4102875
18311,5734926
18312,4877871
18313,5885735
18314,5408017
18315,5301270
18316,5838730
18317,5805796
18318,5742905
18319,4907062
18320,4171207
18321,4986825
18322,4633860
18323,5802299
18324,4564899
18325,5186782
18326,5828996
18327,5320634
18328,5067957
18329,4075146
18330,4121956
18331,4592353
18332,4625221
18333,5705606
18334,5481412
18335,5640327
18336,5557338
18337,4968430
18338,5839608
18339,5106383
18340,5084057
18341,5239593
18342,4602279
18343,5565228
18344,5982364
18345,5709548
18346,5445607
18347,5095054
18348,5697944
18349,4480024
18350,5759773
18351,5995534
18352,4375514
18353,5792203
18354,5751979
18355,5192674
18356,5931930
18357,5157686
18358,5258606
18359,5744059
18360,4293428
18361,5349670
18362,5106008
18363,4194099
18364,5442389
18365,4690539
18366,5175696
18367,5859031
18368,5550834
18369,5714321
18370,5339091
18371,4591333
18372,5204167
18373,5949068
18374,4330813
18375,5999913
18376,5710638
18377,5660849
18378,4462075
18379,4186245
18380,5458573
18381,5683822
18382,5292316
18383,5583479
18384,5835744
18385,5126253
18386,5468531
18387,4836951
18388,4765330
18389,5335325
18390,4691200
18391,5521620
18392,4917942
18393,5900101
18394,5204549
18395,4962023
18396,5556390
18397,5025786
18398,5376856
18399,6000791
18400,5363260
18401,5225018
18402,5380519
18403,5002826
18404,5315992
18405,5537057
18406,5588497
18407,5616465
18408,5489601
18409,4910033
18410,5000896
18411,5481730
18412,5997899
18413,4645815
18414,5469207
18415,5630120
18416,5540756
18417,4561830
18418,5555410
18419,4994070
18420,4979143
18421,5051115
18422,4465533
18423,5937160
18424,5974451
18425,5539398
18426,5654455
18427,4866021
18428,5469577
18429,5573506
18430,4468137
18431,4916979
18432,5972593
18433,5539869
18434,4368766
18435,5122902
18436,5043101
18437,5761196
18438,4573448
18439,5910792
18440,4924434
18441,5276797
18442,5464659
18443,5189349
18444,5689459
18445,5776634
18446,5912208
18447,5491799
18448,5133021
18449,5545681
18450,5752054
18451,5617229
18452,5736361
18453,5565505
18454,5649185
18455,5832922
18456,5489095
18457,5330499
18458,4932939
18459,4822334
18460,4219527
18461,5614506
18462,4716343
18463,4973663
18464,5012068
18465,5501694
18466,5042083
18467,5568295
18468,5014709
18469,5496685
18470,5196686
18471,4119072
18472,4765874
18473,4882917
18474,5223713
18475,5291549
18476,4252802
18477,5227988
18478,4863779
18479,5765026
18480,5751794
18481,5808287
18482,5426030
18483,5761607
18484,5448471
18485,5546595
18486,4369367
18487,5564970
18488,4463445
18489,4340047
18490,5369196
18491,4771130
18492,5513324
18493,4989178
18494,4923645
18495,5275905
18496,5630426
18497,5314471
18498,5997517
18499,4084023
18500,5828836
18501,4818993
18502,4475902
18503,4751106
18504,4783649
18505,5805518
18506,5613080
18507,4249735
18508,5102788
18509,5176638
18510,5681361
18511,4939644
18512,5643274
18513,5704943
18514,5746267
18515,6004766
18516,4433024
18517,5719808
18518,5195131
18519,5485845
18520,5580460
18521,5643377
18522,4525162
18523,5358806
18524,4497302
18525,4966678
18526,5389586
18527,4677467
18528,4043636
18529,4430086
18530,5401247
18531,5372138
18532,5640247
18533,5893915
18534,4822837
18535,5414837
18536,5877106
18537,5798372
18538,4421531
18539,5126141
18540,4353078
18541,5494682
18542,4323487
18543,5859991
18544,5387632
18545,5467114
18546,5548282
18547,5138010
18548,5648397
18549,4819189
18550,5034461
18551,5794801
18552,5883076
18553,5677714
18554,4482749
18555,5720727
18556,5843124
18557,5897851
18558,5289589
18559,4488220
18560,5525831
18561,5571592
18562,5514111
18563,4287661
18564,5541322
18565,4709137
18566,5991394
18567,4546034
18568,4839919
18569,5493324
18570,5910858
18571,6000106
18572,4811279
18573,5169635
18574,5781533
18575,5131403
18576,5635028
18577,5145727
18578,5643277
18579,5128754
18580,5569989
18581,4665918
18582,5956455
18583,4801517
18584,4710767
18585,5778292
18586,5774123
18587,5406387
18588,5155850
18589,5350866
18590,5283879
18591,4859612
18592,5002828
18593,5455030
18594,5523388
18595,5008112
18596,5336762
18597,5290667
18598,4643194
18599,4855238
18600,5385687
18601,5113496
18602,5822581
18603,5516732
18604,5648789
18605,5884242
18606,5803909
18607,4035439
18608,5290296
18609,5269821
18610,5859214
18611,5387697
18612,5828791
18613,5962007
18614,5777200
18615,4990593
18616,4427632
18617,4573973
18618,4102737
18619,5217895
18620,5608264
18621,5458639
18622,4669828
18623,5285297
18624,5217492
18625,4554628
18626,4268983
18627,5607419
18628,4254080
18629,5591527
18630,5381790
18631,4883488
18632,5430300
18633,4897867
18634,4988596
18635,5854648
18636,5088984
18637,4852568
18638,5151697
18639,4443430
18640,4769636
18641,5257381
18642,5898188
18643,5275921
18644,4945500
18645,5983248
18646,4705511
18647,3856513
18648,4899276
18649,4678581
18650,4404325
18651,5779724
18652,5464445
18653,4802490
18654,4466410
18655,5476829
18656,5472752
18657,5171217
18658,4618858
18659,5965043
18660,5131841
18661,5136205
18662,5351041
18663,5375205
18664,5634131
18665,5315637
18666,3924111
18667,5830653
18668,4376278
18669,4602157
18670,4451197
18671,5659345
18672,5822737
18673,4644077
18674,4777276
18675,5956629
18676,5509913
18677,5684292
18678,5951623
18679,5964753
18680,5003979
18681,3878083
18682,5246421
18683,5238745
18684,5770345
18685,5688796
18686,5003012
18687,5224953
18688,4498991
18689,5977386
18690,5936860
18691,5218557
18692,6001729
18693,5318024
18694,5248766
18695,5640667
18696,3988492
18697,4424392
18698,5543664
18699,4967408
18700,5396537
18701,5667303
18702,4975907
18703,5279849
18704,4946931
18705,5835984
18706,5764889
18707,4338397
18708,5759516
18709,5369054
18710,5826190
18711,4538281
18712,4951677
18713,5588048
18714,4626844
18715,5340728
18716,4906278
18717,5279911
18718,5328896
18719,5420337
18720,5043179
18721,4263426
18722,5915915
18723,5387420
18724,4853364
18725,4235695
18726,4755171
18727,4600011
18728,5686549
18729,5030779
18730,5882796
18731,5727023
18732,5807402
18733,4378250
18734,5182244
18735,4718009
18736,4709245
18737,5899920
18738,5997844
18739,5609627
18740,4879148
18741,3870523
18742,4898176
18743,5331101
18744,4628097
18745,5573912
18746,5176686
18747,5334159
18748,4720532
18749,5869004
18750,5492586
18751,5228905
18752,5592645
18753,5390138
18754,5389769
18755,4837798
18756,5290280
18757,5439779
18758,5863817
18759,4915780
18760,5203000
18761,5249293
18762,5992972
18763,4484854
18764,4956417
18765,5832072
18766,5800416
18767,5250399
18768,5038047
18769,5743884
18770,5757903
18771,4519965
18772,5013296
18773,5873879
18774,4800120
18775,5596486
18776,5011686
18777,5142031
18778,4872001
18779,5468603
18780,5640195
18781,4379008
18782,5239386
18783,5234303
18784,4867919
18785,4084591
18786,5192521
18787,5573934
18788,5870579
18789,5843046
18790,4945129
18791,5368582
18792,5165061
18793,4799061
18794,5875480
18795,5417654
18796,4663640
18797,5764317
18798,5589373
18799,5091310
18800,4179485
18801,5747158
18802,4254280
18803,5019918
18804,5217478
18805,5526030
18806,4280621
18807,5620779
18808,5268783
18809,5462922
18810,5968551
18811,5725817
18812,4780806
18813,4275062
18814,5748855
18815,4858105
18816,4095237
18817,5479319
18818,5231493
18819,5262959
18820,5320883
18821,5789803
18822,5764989
18823,5229338
18824,4760312
18825,4374131
18826,5363846
18827,5789176
18828,5848593
18829,5720002
18830,5550973
18831,5216721
18832,5128686
18833,5935477
18834,5702688
18835,4946456
18836,5562736
18837,5514115
18838,5936788
18839,4798023
18840,5205989
18841,4710587
18842,5878945
18843,5693086
18844,5665578
18845,4267002
18846,4948639
18847,5568210
18848,5368566
18849,5050070
18850,4985728
18851,3989815
18852,4731326
18853,5758257
18854,5116797
18855,5665262
18856,5776708
18857,5720939
18858,5799010
18859,5911705
18860,5217876
18861,5562650
18862,4742132
18863,5057578
18864,4924379
18865,4823646
18866,5359522
18867,5177705
18868,4271272
18869,5202385
18870,5855812
18871,4743375
18872,4939640
18873,5281589
18874,4705804
18875,5592511
18876,4760849
18877,4933244
18878,4460688
18879,5339431
18880,5545515
18881,5668085
18882,5479277
18883,5299262
18884,4796048
18885,5153611
18886,5669880
18887,5587913
18888,5561013
18889,5212124
18890,5259902
18891,5392600
18892,5752917
18893,5817101
18894,4001172
18895,5202443
18896,4910032
18897,4767611
18898,5629425
18899,4737144
18900,4929085
18901,5898154
18902,5489857
18903,5892915
18904,4851920
18905,5174978
18906,5891153
18907,5283657
18908,5770196
18909,5557658
18910,4645541
18911,5323781
18912,5446490
18913,5522955
18914,5870155
18915,5093781
18916,5070474
18917,4513032
18918,4598004
18919,5384568
18920,5432719
18921,5397341
18922,4397973
18923,5190533
18924,5298309
18925,5658754
18926,5591905
18927,4203102
18928,4890227
18929,5648125
18930,3999357
18931,4086142
18932,5212256
18933,5069997
18934,5301018
18935,5892774
18936,5454788
18937,4578758
18938,5952345
18939,5180368
18940,5908744
18941,4908761
18942,5805560
18943,5519094
18944,5079352
18945,5912179
18946,4100052
18947,5811253
18948,5329626
18949,5292326
18950,5812668
18951,4861457
18952,5268218
18953,5640595
18954,4815044
18955,5386447
18956,5626598
18957,4795870
18958,3953282
18959,5231486
18960,5221419
18961,5103840
18962,5645576
18963,5534600
18964,5739927
18965,4467421
18966,5549595
18967,5321098
18968,4376186
18969,5359566
18970,5601846
18971,5260345
18972,5484412
18973,5843607
18974,5660988
18975,5545149
18976,5946490
18977,5470009
18978,4307110
18979,5434994
18980,4256596
18981,5229130
18982,6008052
18983,4843542
18984,4181641
18985,4355073
18986,5944019
18987,5236659
18988,5345937
18989,5256721
18990,5008148
18991,4352726
18992,5707771
18993,4342800
18994,5837379
18995,5627836
18996,4991197
18997,4900904
18998,5729199
18999,3968301
19000,5779729
19001,5504699
19002,5427796
19003,5367328
19004,4802539
19005,5602423
19006,5740655
19007,4794202
19008,4035531
19009,5815656
19010,4077944
19011,5802253
19012,5569974
19013,4491909
19014,5434088
19015,5460167
19016,5147385
19017,5737032
19018,4831562
19019,5457485
19020,5866659
19021,4694182
19022,5987115
19023,5835859
19024,5505723
19025,5345502
19026,5268268
19027,4991565
19028,5707362
19029,5327574
19030,5810988
19031,5879881
19032,5728134
19033,5158557
19034,5413557
19035,5986043
19036,4486202
19037,5253328
19038,5558659
19039,5827597
19040,5441784
19041,4118369
19042,4799963
19043,5130574
19044,5164189
19045,5452162
19046,4567126
19047,4830863
19048,5476694
19049,5691026
19050,5646046
19051,5355066
19052,4640847
19053,5770105
19054,5485422
19055,4777534
19056,5342386
19057,3920798
19058,5796396
19059,5553128
19060,5952574
19061,5858487
19062,5164045
19063,4708929
19064,5948868
19065,5269759
19066,5378521
19067,5373169
19068,5423762
19069,5190540
19070,5201729
19071,5665556
19072,4355814
19073,5001276
19074,5097499
19075,4663188
19076,5651979
19077,5453760
19078,5313581
19079,5334164
19080,5559400
19081,5674287
19082,4762129
19083,4954878
19084,5957936
19085,5207229
19086,5968169
